index,owner_address,position_unit,total_open_positions,position_percentage
98,bc1p2xnahmjcjsjq8yhakxfepcaay554tgn9swkwsz904lwg2zek3ueq2u6s8z,751,751000,3.5762%
260,bc1qqf5ljc66f5qj69ptu8sz8r9yxyd46hhnrh7xfz,720,720000,3.4286%
306,bc1pstwuu8w5j3thh5wme98z8dn44zfxmee8jnywlxzvzqlqfx9r9hqqump5vt,400,400000,1.9048%
4,bc1p6ypn9hgnahxjehqgep6x8jqarawesg53fjm0leneqqdgmu9s27uqkqumhn,339,339000,1.6143%
120,bc1pamvuf45gxfpqurlsdeme8qtjurmdk8e4rk9vpw9mdqp25yxc4cxqr5znce,300,300000,1.4286%
197,bc1qss0e0s7kpfrm8uqaax4jy93ss3xf3z0wc4lkdq,300,300000,1.4286%
274,bc1pym8lntdrpmgllu37dnrwzzugsyw6gh9njerqr5vc2crvv5sxpjdqpndwmz,300,300000,1.4286%
259,bc1q4qxq3u5kmscvhymg46afwq2el24y7fhf4hx802,240,240000,1.1429%
314,bc1pr63vlv9p3rp46w62han2jzhtw6g0zcv82ut9urymzt7x4vms4jqs4lxrc9,240,240000,1.1429%
268,bc1qux275ml5p420mtv5v5qc4dhq2vwwzllecvhr2y,225,225000,1.0714%
7,bc1p7ntxl3a30p7mu47ax6mye3620fy9x8aqa0nqsux7lj62mgk70tfs83a885,223,223000,1.0619%
162,bc1p7mh5r8z7z7stzuku9l5lrp5v8jkvuae3yk6j97ru577k4hgslwyq2r7we3,210,210000,1.0000%
29,bc1psu6hcst86yjesctg49myjvskamus348ejgn7wepfq072xf97a02ssry8aq,201,201000,0.9571%
307,bc1q29fw2fj980jgzdxtl9fzwwmwuya8nvmuj6nunf,200,200000,0.9524%
308,bc1p7jxnlcxf27yrh6fy6tthxv6qg9ms3ecurytz7nznwtw9ztnq9qxqwsevl8,200,200000,0.9524%
449,bc1qwsyjqfd6akfp3p07y83mnywzaz47dyc30l5r0m,200,200000,0.9524%
6,bc1pgmdrcf7e9n3ztm7egasr5sg70qemeqqjjzsl4pqchacl9qeqq86sru4fcw,194,194000,0.9238%
19,bc1pfvlf8syg7xvpg3gr84mm9dxw8gqkma0rkhd50ptx3gs44nvj5hpsgvrwgc,188,188000,0.8952%
196,bc1qv3r0r9hseeqq96urr6vvqt2enfmp0p92rw7eju,180,180000,0.8571%
205,bc1qkgcwy0crnsx7q92kg2jmtfkum8awng5yt7tkqm,180,180000,0.8571%
39,bc1peztavg5y638qn8mn03hjzd8pk22p6umnyhq8jx920zddxxf5sszsdfeff8,158,158000,0.7524%
88,bc1p32phtl6xvm863w38ae9jvexgz4ymj0p3a7n97kr6u5qefeuph2dsw7e32g,148,148000,0.7048%
76,bc1p46azgz2a0c9k8r0ph8pnyul2d276m9avpms9l286khyg8w28rgjqm8cdd5,144,144000,0.6857%
164,bc1pgaz4zj3vs7qdspvmnf7cvavdhptj48q2ls0gn70nla9l0nqmvdksal9wws,144,144000,0.6857%
16,bc1p2gwkgghpst7dtsh8hhdt2czr64rygxsyupexv3nkhxcea2je7rxqfjfsx9,143,143000,0.6810%
17,bc1qt0g9zwvvpr5xvm5dnpzrdr7wvcwccea83r5z82,143,143000,0.6810%
200,bc1p3285s2c8fjutrmhaur0ay4ltk9gx7nyslp5v67gpdu7zwkm50ecsay9mzw,143,143000,0.6810%
218,bc1qj576edzywff4dhute2htq62dj9rxdw3kzf3fqj,143,143000,0.6810%
219,bc1qsdyajxd9kfvxucmrvfe30te65a03qkv6w4aeme,143,143000,0.6810%
271,bc1p8sd5xz5kxevtucmv3h67x5rcyp3dktktmv05pln3l49t3aahxq0q85qndn,143,143000,0.6810%
31,bc1pp5pn9h8kew8dntr8cya49w0yaga75arrupkcdgjg62l86vnjj9qqry0grk,138,138000,0.6571%
66,bc1pyvgzy32lzhzajs8g8ml3jqffps66n042k46lmshy2w55t499snks0fzdpu,137,137000,0.6524%
9,bc1p6js0n9ej5sf6cnfdthwec4uwtv7tmc6n06w3z4ac3x94prlzu9ss8mdfvk,123,123000,0.5857%
78,bc1pqvy3c6gxs2t4ffrhewv5rwppql5ecveru8h2eyskwqtx2gtsqh8svds4qc,120,120000,0.5714%
115,bc1p6a9qytenjm0plgs7h8knk6numgyls2uwmnvg2percq2wp2h54u3s48sehx,120,120000,0.5714%
127,bc1pqxq0fj5mzatr4fl4x42dcdll6tz8grkk9tngfty2k9kvsmvsvzps0v0t7d,120,120000,0.5714%
166,bc1pr4mj8ptpqgy97ha44qfxc65060ep097ulg6u5q69y8r2fa5fmmyszu28sv,120,120000,0.5714%
211,bc1pkvywseagv36qp55tn6wegjh980m68n46lefpscda66udau2vdv3q5j2clz,120,120000,0.5714%
220,bc1p26pjvmz232j3xh7zkcvz94xqlgyuj4g9zf7dus76assdvwek2ndqdcaqzy,120,120000,0.5714%
263,bc1pgvl230nwk6yqcq57rn3v8h5pkt7k0pq2ery4xk29esrd3us3xyzqzcn8lz,120,120000,0.5714%
267,bc1q3aamq2lgv6qfmpk5yaxfq9fewke2wvv0c537ae,120,120000,0.5714%
41,bc1p059j440fna6my0mx5l7mt39lxdcsv3kmzcllhgrcjd5xg8ns0cjqe2yjqv,114,114000,0.5429%
289,bc1pxvd4fle207w0cjuw2eut7dsl3m0z5zd0yeanh3pp6068s67nsrlsq4ml7e,113,113000,0.5381%
243,bc1p9ckcepzljrv8glr8jtsjcukxcn2w93qgsv5us0pwxxfcl4yax9vqr3ak57,110,110000,0.5238%
112,bc1pv3dmhwkqwxj69fezatmwffnddacwmc9z99j2e4pjvez3pzpkhjksd0q65l,102,102000,0.4857%
3,bc1pk9swa9k56m8e36kllqn98jugve0d2jt00d0ahh7wvsg39p2ef3rqet6tmy,100,100000,0.4762%
14,bc1pprl3xre38zyf3n2qj53l77zsjy9c4p0ctuvd6l2p8d0rwqxhxahqg4seay,100,100000,0.4762%
30,bc1p6auqxwcpfynqf977j8x7466yhxgvsk55lpjrd8jpcl4jt5xrysmq3qh08s,100,100000,0.4762%
72,bc1pm58fw3vyexd754kwzpckdh77hehgh5urjcp6tgcjq52x58yfgn3sp2vv2f,100,100000,0.4762%
93,bc1pnagtj63hjydh833jx448r842h750z8zkp2jf285fuuwr5qg0hx5qjhr65q,100,100000,0.4762%
105,bc1pvspxa7ztg0estmdyvlm9nqfp99vyl3ephs0z9qeu9w3pfhzjj8msjptsqm,100,100000,0.4762%
118,bc1pacp9qpeamr48nf48000vl55mgph2s20d3wg5zm4dtznqhcwy5jjshha6fq,100,100000,0.4762%
136,bc1pwnct8zylmee5pg7vcz4jaqwfugctl2zyr9m96yk8lwsr7l94p4ns0rtt04,100,100000,0.4762%
144,bc1ps00hv5jceyaaz07l9y9ze5c920qnladd3axs04antj44frza2jjqvf5vus,100,100000,0.4762%
158,bc1p24sns7tgfs04xqrnh2du7lwc39rqw4lk70htm0k00ph239yd7c8q309844,100,100000,0.4762%
168,bc1pt7t5j542zumw446qpacw5khvrnnf6p90sqm52v4lvdp0jc8tqx0qj4fnjz,100,100000,0.4762%
193,bc1paer7rxsxgwclxpmpu29f7p0gm290v8w7s9w6nyj34qlrepeykmlsuv8zcv,100,100000,0.4762%
228,bc1pvu2t3mwd7nu3gg0mz8e0757z0sx5r2pzpcvaul6yvrvl57dqtk7qlqh0t6,100,100000,0.4762%
251,bc1pxm2pmmp0smwnz2e6qrz8dq8457tc72mn267trpwratsnmhqc6rssg982vq,100,100000,0.4762%
256,bc1p2jatkdptlrkf7m2qtzds22cu273rgq685atxtlmx5tehvgctxelsnj0ay5,100,100000,0.4762%
262,bc1p6tp4m06dsyanek03f2u8gxr2xytnu43q3xgwg50945ns5fer9yfqm3thr2,100,100000,0.4762%
269,bc1pr9u2glg07040hcmt6h9gc0406uqdp89smemlc55g6ehjachc73dqy9vwpl,100,100000,0.4762%
338,bc1p2m8cvdugae89mm84pfu27usy3uq4hddhu7myzyzwnfjh0m3zyqvsmdzsu2,100,100000,0.4762%
58,bc1pnpfgltdu6mjcesyt50fcvazc7slw2dz2w7wkvq7v4pd9n2waw64q74lu0y,99,99000,0.4714%
286,bc1qxd2e3n7fam9vll78u8wnnpjfy5pe7ek9ac4m2m,96,96000,0.4571%
71,bc1px0fc902xaqvxaz2z904dqmn3vneyqxq487wgcwr26y5pe358mxrs7thd8t,95,95000,0.4524%
210,bc1p807nq87k7udqjf60d8dwp2e7xtg5wnvqds489068tdrg3l7udwwssy7esx,95,95000,0.4524%
99,bc1p2s4970pp5dy549nswrrzyw395qycpe3ngdhn7q3rc4572cld7gnsec3vcr,92,92000,0.4381%
102,1GvcWkpdyYEy626mcQHzoSobdry2SDcpdK,92,92000,0.4381%
124,bc1pje53nv3355sr9g5kfncvshcvxd6yyja7cy6lstgufcyvraexx78q4cddse,92,92000,0.4381%
40,bc1p57t8z3h5ejdmww7kfkrak7ugv3ttxwrtduk5pzv7u2rfh666ve2qlvmpj8,91,91000,0.4333%
100,bc1p9z3c0e74gv0hzjaxannvmzen3v5ze8989wual8put5uzxklgqj3qr4aent,90,90000,0.4286%
123,bc1pr4mq9wk2zhczhqga4fncj6uld832r7544heqd3vxec7ah0yrqryssn3dfk,90,90000,0.4286%
206,16sk48U1X5aQWZVjDseqVWzBHFfH64RHxH,90,90000,0.4286%
207,17MD3S5oeZWga1hsscgkijEWUqXyVpL53X,90,90000,0.4286%
208,1DEdAg3eC7PFHQi1Hpx9de8J2Uk3Ud4E3f,90,90000,0.4286%
209,1FKc9DqrHaCFcp2RzBGGMHvdz8oQNoBsYZ,90,90000,0.4286%
25,bc1pgfnrydslvv9vdzp5xss9h8etjtm06ae0j0ma2a7g3qjs25usc69ss62rzz,87,87000,0.4143%
454,bc1p99dwd95ydz2xc0k753la0lyz66v4mmmqky4zv30gqyrdzemx6lls7fsgvf,87,87000,0.4143%
27,bc1p5psq0q50rcklj69zhnu7saz7qnxr3v8grgfyyuph8ch2jy5f8vcqkh5pz0,86,86000,0.4095%
320,bc1plq5qn9rd6hhqymq3tclynmew80j906wpt3x9cs3dmhdqe4t7rasq5kvc9n,84,84000,0.4000%
103,bc1pyr2rzuh4f5umq5zcgpxnm2efpg8fqw2w2dgm6tuk6t4w7jj2zvwqa4hku7,83,83000,0.3952%
284,bc1pyjd2jxfy4yr97pfx0nynyw4slsrmgeq64xzjsneh2fcxdjtdnnxsuyekfx,81,81000,0.3857%
1,bc1qdxpuzu8jlk4scq6nq8ya0h054pfyhwyndt5prx,80,80000,0.3810%
70,bc1pqmrjnfxmq35tydzpztjtv4pn0q0dvvqjlqkent7d73qez393d3rsyytugr,80,80000,0.3810%
192,bc1pn99u9rm8wxxaueyg6fhur90mczrh8zuthptkvg6dztaa5kfq7hasmujmjp,80,80000,0.3810%
315,bc1pk66ku3phxj9wh6sxh23mv68jmgencwl4uq4458mvrvmwqtydrmsq6zdvku,80,80000,0.3810%
201,bc1pturvq2jaa8xjstcycwu660s440rr4sldy85zv8d5ne5deqggm48sz072j0,79,79000,0.3762%
221,bc1q2l3f823772lfkgm2xuwwau8kxej8cytsr3yy7k,78,78000,0.3714%
191,bc1p3vadm5ufl4sa6veerq55wzck2phnnw8sytjv4fdhjnqjk0zjglrsvclnkd,75,75000,0.3571%
216,bc1pks4xwarrnjg2kjs3vj6rhy2hmqm4amd7exhz0agzf8g8tg3vshksgxa4uf,70,70000,0.3333%
234,bc1py7x6gy2s9pgs0s48pg8qruqlx269fpqwrck0kdklx6p2l2heqrpq6mf54a,70,70000,0.3333%
272,bc1p7zg3zzecv8djrfsxuwl9chs7wmkje6exa7u567np6j8uqwck39uq56u95t,70,70000,0.3333%
325,bc1phfr3zy98ep5ckjfdlpr8aag5ykfpkptlqphku5qkhcgjhhqalzxs00y29m,70,70000,0.3333%
85,bc1p5ha4tmn3t9x9ck8c3k4fvkjtjz4nh9zdpdmfvmwmhad63drxp5rstqrrew,69,69000,0.3286%
126,bc1pj5rhf8rdgf4uca3c86xjlhul6pk50r728qfp9r6x9drm4cryn3eq5ym8cj,69,69000,0.3286%
203,bc1p353jt3m0nr3vwaua6h39gn5p95m7ft3av4227cxsgxzv3z7jmulqr35kvr,67,67000,0.3190%
20,13e91CXwX8NnW2VrkKGrAds5mSMNw3Lyxq,64,64000,0.3048%
52,bc1pvc3lt8ejsxfwh8u98k2vglc699nkxjd9rk5x8e4mvwqqym4ftftsm8nqq9,63,63000,0.3000%
165,bc1p9yjuck07neupe6n02qkfkuxys9qsuqd5acykch6g8tcq55y6gvjqp6hpza,63,63000,0.3000%
250,bc1pd7sdzh8pqhjzpsp4t7gj87z7k4w7gjuasrka4rgzlrefjk6nrumsghjy8r,63,63000,0.3000%
128,bc1pdx8kh5vylfq4jhe0qays2l7qtfkzdu50r4pcsax7acr8hvyaarjqeqc73n,60,60000,0.2857%
153,bc1phvaphrhx8rvuhmjjps773pvhx7du3kdy90reh0vuqp8qa9g2q55qn74w6q,60,60000,0.2857%
224,bc1p93l2an6za6alg6sz40qfsh2hruf65t5g2zyrz4hv4hc89hm9lp2q3awp37,60,60000,0.2857%
249,bc1pkca8ykwwnkxtdddsxezcqcxnrcr7pxnsunddfexejqysx83lgtmqzmj2ac,60,60000,0.2857%
187,bc1qkuhu3dehs92p56s3qrsk37q56da4ent6w0yzgz,59,59000,0.2810%
18,bc1qhazlsegwemvn2trycl5tm8xyfg9wcfmtvpr6mv,55,55000,0.2619%
231,bc1pkrj9d9gtvqvp5sfknkkrqhruudpallaycfy6y5uf5wz6yxg64vqqrewxh7,54,54000,0.2571%
167,bc1qjxf2cjcfzcfzry4tzp90xkuzqwehzugg8pguy7,53,53000,0.2524%
119,bc1pelztjkdpk0a7wperr3uf25vmrp0x68jqmgs3v2xexg2xz42zgf8qqmg8g4,50,50000,0.2381%
157,bc1p5cc4zpxzrg86trl9tvudr0cr06shvftqvf2w0dlem2c5fdh0mcjs4kl0ar,50,50000,0.2381%
302,bc1pjymm8wvr8h8r9ets3fvxsnce627jcrlpsgdzcaqqka93g2s5qcuss0rlpj,50,50000,0.2381%
341,bc1pvae0ejf9j58m8xjm6m57tzk9mgjcvfrg2vu5afglna7czz9quffq49yets,50,50000,0.2381%
42,bc1p9f4qx95h25ljzc9ydxc8wu4mmytqqyca30xxcy548pgfegk5eheqjkhwvz,48,48000,0.2286%
49,bc1p76em9h2m2ry4edhdmvzghxkee2usma3h8swspw0wdzuct6wj6wzs9gfdmg,48,48000,0.2286%
106,bc1pehge54uv5uluuw4wge4ethngufqctjn60lpmuzpxregn2dw2s4kqhranyy,48,48000,0.2286%
151,bc1p3qeez059jm2py50hpnep57gxf9qcnd5m4gaa5at3kcw3sru6gwnsxm85jn,48,48000,0.2286%
321,bc1pu0jn3zqzatr2wu2e90dnz8synfrqqcvx86z8257xv4r7ujkn7eyqxp0y8y,48,48000,0.2286%
69,bc1ps4eg8jw0dc268ycdj8drk908qxtkrm2ja4548j2dsxutzygfd5wqw7f3qc,47,47000,0.2238%
125,bc1pplmj5vj2u3ggf9094u2stxktezunp5u3r2lvdv0rrklqsqjmrs4qer68dt,47,47000,0.2238%
344,bc1pelrh5jwar5lvzg04qxwqqg4dstsglkj5u6hvw4yv82d43l2natdspxkyt4,47,47000,0.2238%
11,bc1p4398r3kuxf26z2fklfa8g2ny2skl3c22j5uzsnwf58d9qh56725syvyzth,46,46000,0.2190%
51,bc1ppuxdxpvw0nrskev4sv6ankca8nwl3kf626xe0rd9grv0ujffux3s3gyw05,46,46000,0.2190%
122,bc1pmmcdhl8hqlz8ah5qm837yhgf74kmdlrwszrhdmrqg2h75v4we2nqma8jn8,46,46000,0.2190%
132,bc1ps76u3tkte89vugg0yeus5lzhx0teyff2nyy9v3lcv9wupcgm2hzsv4w8c0,46,46000,0.2190%
185,bc1pp4f34xthys32wssu9gktyln6umzdqpzp2cy2lnc8nfe2ruzmas2qgf88dj,46,46000,0.2190%
186,bc1pgp0a46vufwazk4ly24adfmp5dq3yzxt88relf5wp38r3jnhq7e4s53xz6w,46,46000,0.2190%
189,bc1pkvzmmcvta24adk07jsf04ucxjfh2ur2mlxt5zgck0l0gfz53pp0s5m0pu3,46,46000,0.2190%
261,bc1p8nlg2qxttzcyuy9fxm73clkt44vsqjnj84338lqvf8at496rl3uqu5ljs7,46,46000,0.2190%
283,bc1pxsdwh7jfd9guklvlpf63zmx6vcdg2jgdq6pfu88p6cx8f4662e8qry5rm8,46,46000,0.2190%
361,bc1p97ug250vh00pstdyhm47f7s8vn2cnh732epmv67kc0kv6w4ujqqqqjkf20,46,46000,0.2190%
44,bc1pdfl2ejngnvnr8xpsrhu3va0tsn25q709n0gu60eg57rtlsgd8elqdldh6p,44,44000,0.2095%
56,bc1pl999wxgkeygpe26997r9fwd3v8vkmju48wp8spf2gx2p5t3nn5sqtpvsx2,43,43000,0.2048%
113,bc1pfpjf9aud3500hn6r7p2gc6q6y5cepnd5a5tunpperg64sheg4wkq49jqqt,43,43000,0.2048%
155,bc1pm76kz07ppx9hzcc0unrlvd0a5cnv09y5kaluvlwwpydjdkjfz6essuyse3,42,42000,0.2000%
230,bc1pq22ramhr39kzj4k9w7zcu3ywuhuqq6mv867gz8k3xaq2n7f7vj0sf2vf6t,42,42000,0.2000%
233,bc1p2mf96egapalludkze630tq932qq35scretr08rxsxhd9ea5j2xeq3nt7tl,42,42000,0.2000%
33,bc1pzvn7xqxhgx7j2qsnu90j2g4mta9g7wm6c86rxdn95785mga6kxtqj4cpq5,40,40000,0.1905%
86,bc1pfgzrefwc94q0szskwphcljumzashpm42n0y7pckgk0cq9tt8r4jq88ttys,40,40000,0.1905%
101,bc1pzgsw0m0hk6xu5e9yqa9c45794f8kqu4gde7ryhvyd620lltjg3kqv4hl54,40,40000,0.1905%
104,bc1p6ky0ny7dzvaees6f30nyxh3v5f0cpwrxfyw7xqr7dd5vz97vyxksps9672,40,40000,0.1905%
121,bc1pmt8axz3y6dkt0xaxlpgmzq76semjejuzc28axykncghv68xl8amqu8hjtk,40,40000,0.1905%
172,bc1q6rsley3jggty59700n2zu83hl2fc8306rzhskm,40,40000,0.1905%
245,bc1pd6zjnm9xlseyw4g9g8hwukgpk3eaxd5prpxdnz2ak3hphdem2drq95s8rz,40,40000,0.1905%
280,bc1pek6kayzu0awcrp7nfvrdu8824udek5jp6j6ulsctfrh55k67xjtskafrw7,40,40000,0.1905%
396,bc1phgnp6zwe63pssdfv5zjg4vzdqpxe050ltk2apsks9fs4p54nnres89veh9,40,40000,0.1905%
84,bc1pdevpqcnyfrsnlhhjrvxcf7zpwlgxm4ptqfppn35q9wlp06k6yq3sg8v3el,39,39000,0.1857%
253,bc1pwxpk6ryx8vh245pxa4c3uhmp5sz8g75n0dumvpk6tkum6u25w0gqw90kvs,39,39000,0.1857%
15,bc1qcn3us73zvq4t4fagl67pqqgrpfugxe2tqzh3wk,38,38000,0.1810%
134,bc1p95lty0hk8u2s6wwfdwn87897wjug6fn49pyr3w4hcrgcdvamrunsl7r296,38,38000,0.1810%
195,bc1pkvp98qp739sa84he0zclc37tspcdj84rqhyfcm9xv2m3w48rf5pqy9s8eq,38,38000,0.1810%
135,bc1ph3x9ncxh5lcu9zlhswqcv30vyfq0dnrnm037z7n9yxnec5vhce5qx4njjg,37,37000,0.1762%
380,bc1pxydd0yk5tnm3uw075mydh23mgrsuzmgrke9xhzdej0svxqgzj6aqfyetsf,37,37000,0.1762%
83,bc1psmyldsycvt9nxrrs5s6qppzzgndhlk5gcmtncwardpzk7zh3t62qcfv25q,35,35000,0.1667%
378,bc1qjkz363n4wmyf3nhyuh3gx342fktg6cquzlq8fm,35,35000,0.1667%
146,bc1p92d3a2hc9r669efppp0daz8z5tcemc7sk3t3hge7q2srt32d9wysa7pdln,34,34000,0.1619%
28,bc1pjaxf686z96c24f0rujfffpkedujrqfj44nn0jehschcu3agwkkjsnrdj5w,33,33000,0.1571%
337,bc1qe23v7nu5nlrdd057u04mldp20028s76fznvxxj,33,33000,0.1571%
225,bc1pw5cl3k8y2ha09gtmhk8cn5tfl0mmvkm6qgkp4lcn7q7yuxnnm8eq4juygy,32,32000,0.1524%
137,bc1pyzmszjn9avnrq5f30lt7ufwdmexvxvypt9hthgh2r488wrl6e26qtf6nly,31,31000,0.1476%
305,bc1pn066zc9t6qscnlazmd4we9ezrke0kx7tclkuraux5pyk9g5aurjsp7dk6y,31,31000,0.1476%
32,bc1p053ax9d4kkfqqkm2jk0vq7u7xmmh9cxk4ah94vrqppkecsxhq0ushmr2wz,30,30000,0.1429%
117,bc1p8xcd45ygzuasxhddkcv3gjl5dwe0lz0pkp3996hpj08awv9ndacq4w4v0v,30,30000,0.1429%
159,bc1put6flc445ga8jeh6pzzxcyd7uvrjs3muy8j5p2nsqka8dlkht05qlkeeph,30,30000,0.1429%
217,bc1pn8ncc2v9y3c7vnqmrqgf6szwe0lmm2z8t7a9czurddha9vf8luwqdz7lqv,30,30000,0.1429%
266,bc1p7zu35gngkcs3ajqnaxfkvg2xfp9ztqvshtpsfwg4e43dpq44d0lq8ms6y6,30,30000,0.1429%
333,bc1ph4zvp99jgpdaaz2rxmeqxfaz4w98xqktmmdaum0gegpjsqtv8e2sla8axm,30,30000,0.1429%
400,bc1pfdq58mmmadpllr8j3cmpkt8ptvucdlcnqv9x0nl7s5fqzx2vp2mqp82wn2,30,30000,0.1429%
80,bc1p28822pz3djcpugfx00spyvfdghws2n6ec5m9yle30jm8n5v6gqhsactfd6,29,29000,0.1381%
239,bc1ppcl8cwkewzhwg38surugq74wy4uhazp3v9vaj4x4ec9h7qr46acqj88ht9,29,29000,0.1381%
133,bc1pt8ck2c8n8ejgl547lg2zgvzjddl6j6gkkfnl7crzmg7mve3td7lsr6zjlf,26,26000,0.1238%
215,bc1p4ulurghm46vauz9yakscla53r4d0qn0c8wzrd8ep5g4hwn484c9quwf20r,26,26000,0.1238%
304,bc1qa7xvjzptnwksws0j9jxdqae0c9eh0sxqmcy555,26,26000,0.1238%
318,bc1pnd2mrf45vf4kc628wxyh8rtmhq4wxxah30nsafsh6peuv533qakqeulpz5,26,26000,0.1238%
326,bc1p50tu779akpxnsd4fdj50cy5xce794jj2e3n3ukz2v24r8snjzrhsk8ds02,26,26000,0.1238%
147,bc1pu4zwjnavmuyz3alrl4e82y8dm4dsquqkcvzpsr7ak85krpupmk3qjxlp5j,25,25000,0.1190%
